ServiceNo,Operator,Direction,Category,OriginCode,DestinationCode,AM_Peak_Freq,AM_Offpeak_Freq,PM_Peak_Freq,PM_Offpeak_Freq,LoopDesc
79,TTS,1,TRUNK,29009,29009,07-11,07-15,07-10,11-18,Jurong West Ctrl 3
79T,TTS,1,TRUNK,29009,22009,-,-,-,17-17,
801,TTS,1,FEEDER,59009,59009,08-14,12-15,08-12,08-16,Yishun Ave 1
825,TTS,1,TRUNK,55509,55509,09-10,10-20,09-15,09-11,Lentor Loop
853,TTS,1,TRUNK,59009,80009,10-15,12-15,13-13,13-18,
853,TTS,2,TRUNK,80009,59009,13-14,12-15,12-12,15-17,
853M,TTS,1,TRUNK,59009,94009,12-14,12-15,15-15,14-15,
853M,TTS,2,TRUNK,94009,59009,14-15,12-16,13-15,12-15,
854,TTS,1,TRUNK,59009,84009,05-07,07-11,08-08,11-13,
854,TTS,2,TRUNK,84009,59009,07-08,06-11,06-12,10-14,
854e,TTS,1,EXPRESS,59009,84009,20-20,-,-,-,
855,TTS,1,TRUNK,59009,14009,10-11,14-15,14-15,14-15,
855,TTS,2,TRUNK,14009,59009,13-14,12-15,12-12,13-15,
856,TTS,1,TRUNK,59009,46009,05-06,05-11,05-07,05-12,
856,TTS,2,TRUNK,46009,59009,04-06,06-10,06-08,05-12,
856A,TTS,1,TRUNK,46009,46069,-,-,06-24,05-08,
856B,TTS,1,TRUNK,46009,58159,13-28,10-26,-,-,
857,TTS,1,TRUNK,59009,59009,06-08,05-11,07-10,07-10,Temasek Ave
857A,TTS,1,TRUNK,59009,55081,-,-,-,-,
857B,TTS,1,TRUNK,59009,02161,73-73,-,-,12-13,
858,TTS,1,TRUNK,46009,46009,06-08,06-08,07-09,07-09,PTB2 Basement
858A,TTS,1,TRUNK,46009,59073,-,-,-,12-13,
858B,TTS,1,TRUNK,68111,68119,08-23,-,-,-,
859,TTS,1,TRUNK,58009,58009,09-11,10-11,10-11,10-14,Yishun Ave 2
859A,TTS,1,TRUNK,58009,58009,20-20,15-22,10-15,10-30,Admiralty Link
859B,TTS,1,TRUNK,58009,58009,10-11,10-22,10-15,10-20,Sembawang Cres
859T,TTS,1,TRUNK,58009,59009,-,-,-,15-15,
861,TTS,1,TRUNK,58009,58009,10-12,10-12,10-10,12-13,Yishun Ring Rd
861A,TTS,1,TRUNK,58009,59569,-,-,-,-,
870,TTS,1,TRUNK,29009,41009,10-13,12-13,10-10,10-15,
870,TTS,2,TRUNK,41009,29009,10-15,12-13,09-10,10-15,
871,TTS,1,TRUNK,41009,41009,12-12,12-12,12-12,12-14,Upp Bt Timah Rd
882,TTS,1,TRUNK,58009,58009,10-13,11-15,10-12,10-12,Sembawang Rd
882A,TTS,1,TRUNK,58009,58501,-,-,-,-,
883,TTS,1,TRUNK,58009,58009,06-09,08-13,08-13,07-15,Yishun Ctrl 2
883B,TTS,1,TRUNK,59079,58049,-,-,-,-,
883M,TTS,1,TRUNK,58009,58009,30-30,30-30,-,-,Sembawang Rd
941,TTS,1,FEEDER,43009,43009,06-09,08-12,06-10,06-14,Bukit Batok West Avenue 9
945,TTS,1,FEEDER,43009,43009,05-11,08-12,07-10,07-14,Bt Batok St 34
947,TTS,1,FEEDER,43009,43009,05-10,09-11,05-09,05-14,Bt Batok Rd
96,TTS,1,TRUNK,17009,17009,09-13,08-11,10-10,10-15,Kent Ridge Cres
963,TTS,1,TRUNK,46009,14009,06-14,09-14,10-14,12-16,
963,TTS,2,TRUNK,14009,46009,12-14,09-14,07-07,07-13,
963e,TTS,1,EXPRESS,46009,14009,20-20,-,-,-,
963e,TTS,2,EXPRESS,14009,46009,-,-,30-30,-,
965,TTS,1,TRUNK,47009,47009,09-12,09-13,10-13,11-13,Sengkang Sq
965A,TTS,1,TRUNK,47009,59073,08-10,-,-,-,
965T,TTS,1,TRUNK,47009,67009,-,-,-,12-13,
966,TTS,1,TRUNK,46009,46009,06-07,06-12,07-13,12-13,Marine Parade Rd
966A,TTS,1,TRUNK,46009,92041,-,-,-,15-15,
969,TTS,1,TRUNK,46009,75009,04-08,05-10,06-12,09-12,
969,TTS,2,TRUNK,75009,46009,07-10,05-10,06-07,06-10,
969A,TTS,1,TRUNK,75009,59079,-,-,-,07-07,
96A,TTS,1,TRUNK,17009,16169,09-09,08-09,-,-,
96B,TTS,1,TRUNK,16199,17171,-,10-10,10-21,-,
97,TTS,1,TRUNK,28009,02089,12-13,09-15,09-11,15-23,
97,TTS,2,TRUNK,02101,28009,13-13,10-15,11-14,14-24,
97e,TTS,1,EXPRESS,28009,02089,16-16,-,-,-,
97e,TTS,2,EXPRESS,02101,28009,-,-,24-24,-,
98,TTS,1,TRUNK,28009,28009,06-10,08-16,08-08,08-20,Jurong Pier Way
980,TTS,1,TRUNK,58009,80009,12-12,14-16,13-15,13-17,
980,TTS,2,TRUNK,80009,58009,12-13,13-16,14-14,13-16,
981,TTS,1,TRUNK,58009,47199,09-10,09-10,-,-,
981,TTS,2,TRUNK,47121,58009,-,-,10-10,10-10,
98A,TTS,1,TRUNK,28091,21179,-,-,08-16,08-18,
98B,TTS,1,TRUNK,28501,21099,05-52,-,-,-,
98M,TTS,1,TRUNK,28009,28009,-,17-18,-,12-17,Corporation Rd
990,TTS,1,TRUNK,43009,43009,11-11,13-15,12-14,12-14,Jurong Gateway Rd
992,TTS,1,TRUNK,43009,41009,03-09,08-12,04-08,04-13,
992,TTS,2,TRUNK,41009,43009,03-08,06-12,04-06,05-14,
