Line Name,Type,Sequence,Station Code,Station Name,Transfer,Build Start,Opening Date,Closed Date,Lantitude_x,Longitude_x,Others,Lantitude_y,Longitude_y
North East Line,MRT,12,CC13/NE12,Serangoon,Standard,,Before 2020,,,,,1.3501500000855047,103.87291500016103
North East Line,MRT,13,NE13,Kovan,,,Before 2020,,,,,1.3601100000000002,103.88501
North East Line,MRT,14,NE14,Hougang,,,Before 2020,,,,,1.3713899999999999,103.89257
North East Line,MRT,15,NE15,Buangkok,,,Before 2020,,,,,1.3824299999999998,103.89302
North East Line,MRT,16,NE16/STC,Sengkang,Standard,,Before 2020,,,,,1.3916450000000933,103.89539499999948
North East Line,MRT,17,NE17/PTC,Punggol,Standard,,Before 2020,,,,,1.4052450000000936,103.90236999999988
North-South Line,MRT,1,EW24/NS1,Jurong East,Standard,,Before 2020,,,,,1.3331233333363326,103.74230333332972
North-South Line,MRT,2,NS2,Bukit Batok,,,Before 2020,,,,,1.3489900000005592,103.7495400000006
North-South Line,MRT,3,NS3,Bukit Gombak,,,Before 2020,,,,,1.3589150000003385,103.75182000000005
North-South Line,MRT,4,BP1/NS4,Choa Chu Kang,Standard,,Before 2020,,,,,1.3852033333371152,103.74438000001548
North-South Line,MRT,5,NS5,Yew Tee,,,Before 2020,,,,,1.39755,103.74743
North-South Line,MRT,6,NS6,Sungei Kadut,,,None,,,,,,
North-South Line,MRT,7,NS7,Kranji,,,Before 2020,,,,,1.4252099999999999,103.76201
North-South Line,MRT,8,NS8,Marsiling,,,Before 2020,,,,,1.4325500000000002,103.77409
North-South Line,MRT,9,NS9/TE2,Woodlands,Standard,,Before 2020,,,,,1.439336682236972,103.78146334696854
North-South Line,MRT,10,NS10,Admiralty,,,Before 2020,,,,,1.4406300000000003,103.80097
North-South Line,MRT,11,NS11,Sembawang,,,Before 2020,,,,,1.44906,103.82002
North-South Line,MRT,12,NS12,Canberra,,,Before 2020,,,,,1.44325,103.82959
North-South Line,MRT,13,NS13,Yishun,,,Before 2020,,,,,1.42938,103.83504
North-South Line,MRT,14,NS14,Khatib,,,Before 2020,,,,,1.41732,103.833
North-South Line,MRT,15,NS15,Yio Chu Kang,,,Before 2020,,,,,1.3817799999999996,103.84494
North-South Line,MRT,16,NS16,Ang Mo Kio,,,Before 2020,,,,,1.3700700000000001,103.84951
North-South Line,MRT,17,CC15/NS17,Bishan,Standard,,Before 2020,,,,,1.351360000004422,103.84837499999588
North-South Line,MRT,18,NS18,Braddell,,,Before 2020,,,,,1.3406000000000002,103.84677
North-South Line,MRT,19,NS19,Toa Payoh,,,Before 2020,,,,,1.3323699999999998,103.84759
North-South Line,MRT,20,NS20,Novena,,,Before 2020,,,,,1.32007,103.84351000000001
North-South Line,MRT,21,DT11-NS21,Newton,Tap Out,,Before 2020,,,,,1.3131700000033948,103.8382700000221
North-South Line,MRT,22,NS22/TE14,Orchard,Standard,,Before 2020,,,,,1.3030650000266693,103.8318249999791
North-South Line,MRT,23,NS23,Somerset,,,Before 2020,,,,,1.3002800000000003,103.83853
North-South Line,MRT,24,CC1/NE6/NS24,Dhoby Ghaut,Standard,,Before 2020,,,,,1.2992266666934715,103.84582333340933
North-South Line,MRT,25,EW13/NS25,City Hall,Standard,,Before 2020,,,,,1.2930800000003235,103.8526799999997
North-South Line,MRT,26,EW14/NS26,Raffles Place,Standard,,Before 2020,,,,,1.2843700000002416,103.851495
North-South Line,MRT,27,CE2/NS27/TE20,Marina Bay,Standard,,Before 2020,,,,,1.2752500000492544,103.85519333344618
North-South Line,MRT,28,NS28,Marina South Pier,,,Before 2020,,,,,1.27171,103.86275
Thomson-East Coast Line,MRT,1,TE1,Woodlands North,,,2020-01-31 00:00:00,,,,,1.4483499999999998,103.78576
Thomson-East Coast Line,MRT,2,NS9/TE2,Woodlands,Standard,,2020-01-31 00:00:00,,,,,1.439336682236972,103.78146334696854
Thomson-East Coast Line,MRT,3,TE3,Woodlands South,,,2020-01-31 00:00:00,,,,,1.4273100000000003,103.7938
Thomson-East Coast Line,MRT,4,TE4,Springleaf,,,2021-08-28 00:00:00,,,,,1.39818,103.81805
Thomson-East Coast Line,MRT,5,TE5,Lentor,,,2021-08-28 00:00:00,,,,,1.3849100000000003,103.83663
Thomson-East Coast Line,MRT,6,TE6,Mayflower,,,2021-08-28 00:00:00,,,,,,
Thomson-East Coast Line,MRT,7,TE7,Bright Hill,,,2021-08-28 00:00:00,,,,,1.3637400000000004,103.83344
Thomson-East Coast Line,MRT,8,TE8,Upper Thomson,,,2021-08-28 00:00:00,,,,,1.3546000000000002,103.83269
Thomson-East Coast Line,MRT,9,CC17/TE9,Caldecott,Standard,,2021-08-28 00:00:00,,,,,1.3374300000118002,103.83994000000976
Thomson-East Coast Line,MRT,10,TE10,Mount Pleasant,,,None,,,,,,
Thomson-East Coast Line,MRT,11,DT10/TE11,Stevens,Standard,,2022-11-13 00:00:00,,,,,1.319770000010378,103.82576499997666
Thomson-East Coast Line,MRT,12,TE12,Napier,,,2022-11-13 00:00:00,,,,,1.3069500000000003,103.81883
Thomson-East Coast Line,MRT,13,TE13,Orchard Boulevard,,,2022-11-13 00:00:00,,,,,1.30255,103.82396
Thomson-East Coast Line,MRT,14,NS22/TE14,Orchard,Standard,,2022-11-13 00:00:00,,,,,1.3030650000266693,103.8318249999791
Thomson-East Coast Line,MRT,15,TE15,Great World,,,2022-11-13 00:00:00,,,,,1.2947900000000003,103.83362
Thomson-East Coast Line,MRT,16,TE16,Havelock,,,2022-11-13 00:00:00,,,,,1.2880600000000002,103.83368
Thomson-East Coast Line,MRT,17,EW16/NE3/T17,Outram Park,Standard,,2022-11-13 00:00:00,,,,,1.2809800000150109,103.83929000008159
Thomson-East Coast Line,MRT,18,TE18,Maxwell,,,2022-11-13 00:00:00,,,,,1.2805599999999997,103.84391
Thomson-East Coast Line,MRT,19,TE19,Shenton Way,,,2022-11-13 00:00:00,,,,,1.27779,103.85063
Thomson-East Coast Line,MRT,20,CE2/NS27/TE20,Marina Bay,Standard,,2022-11-13 00:00:00,,,,,1.2752500000492544,103.85519333344618
Thomson-East Coast Line,MRT,21,TE21,Marina South,,,None,,,,,,
Thomson-East Coast Line,MRT,22,TE22,Gardens by the Bay,,,2022-11-13 00:00:00,,,,,1.2792300000000003,103.86803
